date_started,date_ended,declaration_type,disaster_type,disaster_title,days_lasted,county,county_fip,state,state_abbr,division_name,region_name
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Howard County,IN-067,Indiana,IN,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Grant County,IN-053,Indiana,IN,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Wells County,IN-179,Indiana,IN,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Clinton County,IN-023,Indiana,IN,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Starke County,IN-149,Indiana,IN,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Montgomery County,IN-107,Indiana,IN,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Boone County,IN-011,Indiana,IN,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Hamilton County,IN-057,Indiana,IN,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,LaGrange County,IN-087,Indiana,IN,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Cass County,IN-017,Indiana,IN,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,St. Joseph County,IN-141,Indiana,IN,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Blackford County,IN-009,Indiana,IN,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Marshall County,IN-099,Indiana,IN,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,LaPorte County,IN-091,Indiana,IN,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Adams County,IN-001,Indiana,IN,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Elkhart County,IN-039,Indiana,IN,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Steuben County,IN-151,Indiana,IN,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Barry County,MI-015,Michigan,MI,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Hillsdale County,MI-059,Michigan,MI,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Allegan County,MI-005,Michigan,MI,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Bay County,MI-017,Michigan,MI,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Gratiot County,MI-057,Michigan,MI,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Clinton County,MI-037,Michigan,MI,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Eaton County,MI-045,Michigan,MI,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Branch County,MI-023,Michigan,MI,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Kalamazoo County,MI-077,Michigan,MI,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Kent County,MI-081,Michigan,MI,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Lenawee County,MI-091,Michigan,MI,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Monroe County,MI-115,Michigan,MI,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Ottawa County,MI-139,Michigan,MI,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Montcalm County,MI-117,Michigan,MI,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Washtenaw County,MI-161,Michigan,MI,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Shiawassee County,MI-155,Michigan,MI,East North Central,Midwest
1965-04-14,1965-04-14,Major Disaster Declaration,Tornado,Tornadoes & Severe Storms,0.0,Seneca County,OH-147,Ohio,OH,East North Central,Midwest
